"","Control_day_0_M1","Treatment_day_0_M1","Control_day_7_M1","Treatment_day_7_M1","Treatment_day_14_M1","Control_day_14_M1","Treatment_day_49_M1","Control_day_0_M2","Treatment_day_0_M2","Control_day_7_M2","Treatment_day_7_M2","Treatment_day_14_M2","Control_day_14_M2","Treatment_day_49_M2","Control_day_49_M2","Treatment_day_7_M3","Treatment_day_0_M3","Control_day_0_M3","Control_day_14_M3","Treatment_day_14_M3","Control_day_49_M3","Treatment_day_49_M3","Treatment_day_0_M5","Treatment_day_7_M5","Treatment_day_14_M5","Control_day_0_M5","Control_day_7_M5","Control_day_14_M5","Control_day_49_M5","Treatment_day_0_M6","Treatment_day_7_M6","Treatment_day_14_M6","Treatment_day_49_M6","Control_day_0_M6","Control_day_7_M6","Control_day_14_M6","Control_day_49_M6","Control_day_49_M8","Control_day_14_M8","Control_day_7_M8","Control_day_0_M8","Treatment_day_49_M8","Treatment_day_14_M8","Treatment_day_7_M8","Treatment_day_0_M8"
"Serpinf2",8.544451954,9.275826137,9.073629797,8.892930788,9.534656733,9.388660394,9.666298122,10.10946761,10.49654893,8.790824056,9.60585271,9.688899249,8.91262172,9.790921985,8.602993006,9.282057495,9.293599133,8.570746826,9.787882502,9.42849859,10.21913566,9.643994008,9.605106887,9.655971247,9.362981871,9.869131237,9.760445146,9.500170278,9.368106583,9.385571076,10.35609726,9.997523151,9.807241087,9.337792385,9.256042219,9.154446894,9.615126093,10.00772203,9.236449664,9.579202437,10.12080192,9.330641999,9.169193414,9.133819041,9.974833707
"C9",10.36080043,10.4517624,11.38690746,9.705666337,10.17880387,12.14729959,10.81477218,10.15435559,10.02834665,11.27633474,9.167250497,9.787680674,10.32826359,11.54790773,9.915426185,9.335279683,9.753771282,10.27441554,10.15215801,8.783860154,10.51015673,9.535240886,9.607244631,8.334698946,8.667193593,9.589311935,9.320689374,9.4679725,9.466511019,8.404727306,9.158671258,8.743507847,9.742092208,8.480452279,9.65373476,9.983417201,9.812728601,9.484719827,10.2530966,11.03602267,10.93558347,9.904828188,9.790934784,9.562476522,9.886111417
"Flot2",7.784850514,8.849428579,8.771469123,7.174266691,8.873868957,7.986866086,8.649571867,8.69065754,8.749277599,8.849908072,8.270759933,9.598882389,9.568129442,8.889783262,9.723065525,7.955123654,8.989570845,8.638906774,8.902013037,8.959415147,8.949004456,9.036818479,7.846394562,9.464569262,9.368045322,8.8999041,7.597400691,8.917378717,9.364305811,8.567845503,8.840976837,9.072051704,8.927179836,9.627997967,8.577166992,8.988495628,9.202571894,8.520991522,8.588819912,8.458034018,8.493507371,9.205320196,8.3946212,9.000127872,8.806921575
"Krt10",12.55803216,12.30187494,11.64015468,12.61899617,12.25697241,12.08133429,10.72823835,12.1300249,9.941432033,12.04833494,12.76149461,11.25197331,11.9194596,10.97678338,12.89882371,11.69950283,11.88154955,13.21952928,10.29533506,10.64403562,10.51169201,11.12827711,10.43871956,10.80466364,11.51484992,11.25429398,11.82226952,11.71661936,11.33790447,12.3535976,10.56112349,12.1900008,10.86470841,11.83229461,12.2781472,13.6675167,10.20975756,12.19002815,11.46300206,11.59775095,10.75975088,11.47027182,11.60779685,12.48334455,10.69419361
"Capn1",5.993731043,5.172141105,5.067464466,4.813259109,5.324853913,4.224271749,4.900303444,5.13584216,5.193989745,5.945103257,6.428610691,5.240328405,5.647877318,6.005993208,5.824031348,6.027967145,6.277403935,6.066579106,5.786974673,6.122943862,6.141901892,5.924969158,6.454297175,6.788619076,6.573890253,5.97952326,6.083927435,6.097919202,5.83280796,5.058476347,5.911388374,4.418814119,5.304674285,5.641129777,5.585489882,5.974322302,5.350775291,4.813770481,6.110770788,5.587609604,5.474844159,6.217464534,6.438810941,5.915406846,5.651674057
"S100a4",9.507896579,7.694398422,8.641200768,8.881566595,7.749912398,9.84052687,9.769496087,8.338961615,8.15073122,8.602653011,8.897439331,7.93509595,8.711570584,8.913964725,8.359067981,8.551942537,7.309448514,8.835203898,8.854457687,7.319187145,9.125561431,8.218779364,8.928772368,8.711070617,8.96707588,8.857755495,8.222605705,8.928146876,8.156633486,8.018779379,7.874054453,7.380989848,8.45549165,8.161651015,8.986428614,8.856012438,8.206276567,8.581223742,8.569782523,8.466972261,8.161739152,9.253301715,8.171388511,8.061634058,7.71182751
"Trpm5",7.436965248,8.49461392,7.930352246,8.76409298,7.558565708,7.750751784,8.573462354,7.512580211,5.864130336,7.00023391,7.743920398,9.136172847,7.926537148,7.288187069,8.873959009,7.01651774,8.610347445,8.05536927,7.187392197,8.62128676,8.604915393,8.335105316,7.184252248,8.973480156,7.933420768,6.612464941,8.541197874,7.529788471,7.883832956,7.866908268,8.463224404,8.21223359,7.637475638,8.284808862,7.611926871,8.933473896,8.711645929,7.945442936,8.265951734,7.933586399,8.347762252,8.542261693,8.553738564,8.35175635,8.843343209
"Fgg",9.79187398,14.86911682,9.64314385,13.00865735,12.38312086,10.13990637,11.13557107,11.93629818,17.68373134,10.34015996,14.50167458,14.68501683,11.45917462,11.21494402,11.58088121,14.87670473,16.00504932,11.95837486,13.72285662,14.91993604,11.77020576,11.61852216,16.54394303,14.20011763,14.2091877,13.39712219,13.52387559,12.64251913,12.4601125,15.66614427,15.72475833,14.16656601,12.64560095,11.11245547,12.51525535,12.83440029,12.78379955,12.77366205,12.84470284,12.70302666,14.11639972,12.28720505,13.76502603,13.50098087,16.07993949
"A1bg",7.968402463,9.678018576,8.985283428,10.72636793,9.600939383,8.573583231,9.048904439,9.59552514,11.35226394,8.781021052,9.386880868,10.61438679,9.705575854,8.020344515,9.490300343,9.112421324,9.885191492,9.292191279,8.91371745,9.832380159,9.70124076,9.628727364,9.42655063,11.4158593,9.680049202,10.51305589,10.87975077,9.838822234,9.846123114,10.54263385,9.802347735,11.78073166,9.371006697,10.42474518,8.374325385,9.326871821,9.006307549,10.61178231,9.277026751,8.709185332,9.647845222,10.00710554,9.891861474,9.890117246,10.06176938
"Smchd1",11.11247896,11.78168726,12.69563076,13.21587523,12.45083699,12.55423024,11.28698094,11.24055569,12.31177399,13.08025384,11.9441521,13.03388281,13.03577224,12.78973586,12.85864997,11.16823936,12.20252449,11.8482326,11.73834963,12.45329871,11.50469061,12.38806228,12.27927407,12.90003924,12.968776,12.69533375,12.67592711,11.373634,13.51527145,12.99580496,12.64965134,11.9520646,11.61301117,13.0551034,11.86097447,12.51451132,12.53663128,12.0515969,12.07002336,12.39020875,12.06409013,12.66747889,12.57942492,12.71389197,11.96167954
"Tgm2",8.521805186,8.133302677,8.766075067,7.393746997,8.264744459,8.781701046,8.528960067,8.109726875,9.365771752,8.149447791,9.82368304,9.210413873,8.739550302,8.812172258,8.980315555,8.63515876,8.177253368,8.319613998,9.295464383,8.774850274,9.297385373,8.677680004,8.712750957,8.618073279,8.699674151,8.516441874,8.228969833,8.185584102,7.848970217,8.428698951,9.401612528,8.016067044,8.445712497,8.427699208,8.559196969,8.3667177,7.813969707,8.95496571,8.055239078,8.957443224,8.578787155,8.566782503,8.392178399,8.037802652,7.946587907
"Itih3",5.166484026,5.899959025,5.449282036,5.722221287,5.408078122,5.191726841,6.058156527,6.700325169,7.092083335,5.343943155,5.994367707,6.977834694,5.336934127,6.562009482,6.065693536,6.58167434,5.903391462,5.714428159,6.57955221,6.64145426,6.926051278,6.749203381,6.502642298,6.8804955,6.359024193,6.240254347,6.616767573,6.260294609,6.538450204,6.197039815,6.950687285,6.910895346,6.020782399,5.881929515,6.246089508,6.375105964,5.891389504,5.935722683,5.478655027,5.708466078,6.628006077,5.513678676,6.058788711,6.144569839,6.499655941
"Capza1",6.89800222,6.135395508,5.435006599,6.344996665,6.797805809,5.843153974,6.435434489,7.162211403,5.384942794,4.872898432,6.485073489,6.731267348,6.14238599,6.074725012,7.476134655,4.786763828,6.462013566,6.873950668,5.96911532,7.091799112,6.66738783,6.365912986,5.782177379,6.534410107,5.237036941,5.52665058,6.534299506,6.522711904,5.916375938,6.615725845,5.517281843,5.78398044,7.181679274,6.759193524,7.035385295,7.180388124,6.802207299,5.766044787,5.969750993,6.86479363,7.553667225,7.087753695,7.450053773,6.536758708,8.621417199
"Prdx1",7.186555591,5.787066255,6.761880393,6.170730882,6.229526802,6.219054242,5.338457701,5.447838538,4.860292949,6.35097549,6.685780847,5.760216214,5.560956498,5.301130835,5.416079592,4.579237976,5.045606436,7.210074719,5.335621075,4.001060631,4.726971651,4.330136911,5.998159667,5.987031846,5.978400472,6.131985629,4.586440003,5.860429321,5.597773107,5.079064097,4.5258277,5.489009236,5.076508818,4.329399634,5.71874151,5.070031653,4.274217901,5.91908029,6.253733579,6.306578807,5.468630576,6.044274906,5.607755123,5.401582273,4.438358346
"Xpnpep1",5.977234334,6.8920146,7.350099344,8.032674153,7.696332328,4.46420368,8.449799044,7.537145202,5.325807877,6.906118464,7.493247366,7.583454187,7.093356634,6.328831519,7.897730312,5.91243493,7.547400658,7.606481357,7.442629045,6.793490998,6.600869353,7.340588647,5.886366269,5.281575129,5.709539688,6.015313746,5.466092024,5.470054482,6.740999205,7.410579473,7.119408,8.595743189,6.650566585,7.612976235,6.735588613,8.193322057,6.105024143,7.341201998,7.29131867,6.639293392,7.22792446,7.185715286,7.447247387,6.874719645,8.483455446
