"","Control_day_0_M1","Treatment_day_0_M1","Control_day_7_M1","Treatment_day_7_M1","Treatment_day_14_M1","Control_day_14_M1","Treatment_day_49_M1","Control_day_0_M2","Treatment_day_0_M2","Control_day_7_M2","Treatment_day_7_M2","Treatment_day_14_M2","Control_day_14_M2","Treatment_day_49_M2","Control_day_49_M2","Treatment_day_7_M3","Treatment_day_0_M3","Control_day_0_M3","Control_day_14_M3","Treatment_day_14_M3","Control_day_49_M3","Treatment_day_49_M3","Treatment_day_0_M5","Treatment_day_7_M5","Treatment_day_14_M5","Control_day_0_M5","Control_day_7_M5","Control_day_14_M5","Control_day_49_M5","Treatment_day_0_M6","Treatment_day_7_M6","Treatment_day_14_M6","Treatment_day_49_M6","Control_day_0_M6","Control_day_7_M6","Control_day_14_M6","Control_day_49_M6","Control_day_49_M8","Control_day_14_M8","Control_day_7_M8","Control_day_0_M8","Treatment_day_49_M8","Treatment_day_14_M8","Treatment_day_7_M8","Treatment_day_0_M8"
"Capns1",6.52792258,6.072484268,7.804059898,3.573549277,5.828715976,3.573224856,5.520991568,5.211917975,6.867838464,5.193404406,7.677671417,6.647708951,4.368713769,5.271351031,5.973249761,7.384900243,6.619257911,7.142048004,6.184154284,6.304157941,7.859929721,7.910419703,7.201832375,7.080473087,6.124103051,6.124353591,4.489130486,6.914798776,6.121740453,5.910947677,6.05219339,6.995523037,7.023213724,6.740651099,5.97125658,6.27935794,6.165144863,6.635143101,5.152251665,7.031053228,4.52558349,6.131018728,7.480212785,6.879374033,6.138091017
"Dpysl2",7.494772439,4.641394556,7.420347175,7.062591068,7.079386557,6.886804308,6.473850567,6.025435773,4.625186957,7.256413573,7.029424177,4.476704116,6.762317973,6.766968746,5.407919524,6.402002168,4.508742944,6.216404483,6.240419559,4.929218289,5.558708034,5.168997044,6.868727247,6.604080385,6.424142684,6.359794121,4.689299035,5.780584792,5.598656392,4.541342544,6.343565558,5.614637989,6.167025732,4.955323572,6.277630483,5.113618994,4.848533377,6.204328233,6.447130999,6.032756955,5.89895015,6.43818034,5.324814534,4.457429074,3.817696178
"Gdi2",6.502093535,5.523353938,4.853412016,5.585407732,4.424642171,3.970613613,5.63190528,4.783869075,3.313808266,3.841487352,5.951527803,4.465399093,3.484363442,3.951647926,4.051459564,4.193839174,3.541728982,6.531725195,3.865632154,4.693972454,3.823415574,2.64723738,3.917137576,4.856353525,4.831070385,4.338901702,3.47784146,3.241608652,3.888284684,4.326562905,3.401282182,4.426425981,3.263674073,3.160263003,4.411424089,5.147113212,2.387156127,4.90832244,4.032889993,4.437333053,4.033023737,5.308211609,5.126933735,4.969024899,4.877040063
"Fam120a",7.823804573,8.198588423,8.735251967,9.598355107,9.495240377,8.410375987,8.911321147,10.53067211,10.77194726,8.266994648,9.359728635,10.24904277,8.989305497,8.420623386,8.699870774,10.1470737,9.493644566,7.102034592,9.608231925,10.38647124,9.986409907,10.32616293,7.595152237,8.148385705,8.40775063,8.355511237,8.590406377,7.622954876,8.067063444,9.866913428,10.13671412,10.42400173,9.739776635,9.611682986,9.31632885,9.60285673,9.263569847,9.910073107,9.755000881,8.647790509,9.6079828,9.141462828,9.144611322,9.587906037,10.19207306
"Ube2v1",13.66785647,13.59973909,13.90328717,14.19368856,13.44502923,14.41411489,13.48344768,14.27591654,12.68898565,14.4228064,13.87262228,12.54093671,14.81209414,13.74162241,14.31824542,13.00320628,13.74870886,14.46784265,14.04420143,14.04607791,13.40465165,13.26382464,12.51234357,14.33021199,14.4044126,14.0797067,14.27401902,14.11802168,13.87968589,14.02313276,12.90421914,14.19699585,13.28609207,14.65867363,14.33219021,14.56989891,13.16001245,14.82546056,13.3247224,14.01601753,13.89079499,14.22009634,13.85283609,13.09225733,13.8550669
"Aldh1l1",9.007799753,7.117914839,8.271221601,7.844474304,7.544477651,7.820614601,7.686014804,6.843956118,7.209246706,6.991088919,7.922402403,6.977635433,7.700642718,7.595778182,7.426753619,7.337925394,7.200989549,7.312285341,7.853263437,7.438598138,7.395022897,7.230227508,7.639178563,7.339877425,7.666435848,7.224871295,7.183334829,7.262906552,6.161132552,6.843494819,6.296383262,7.382662531,7.866779634,7.105660848,8.246240894,7.685131156,7.266670332,7.380452895,7.549412072,5.712052177,8.128019468,7.613569618,7.379673284,6.747378861,6.886654945
"Apoh",12.24507559,12.66037663,12.59522281,11.67767542,13.32692249,13.65671965,12.33804016,13.57711597,13.33865638,12.41821764,12.14686661,12.60798703,13.01450164,14.30909837,13.33006003,12.8591443,12.43451653,13.00143023,13.1881292,12.62869834,13.64397999,13.1331771,12.85270241,12.88975254,13.38325265,13.34540259,13.43880882,13.5015456,13.32643729,12.41208155,13.21286091,11.09311013,12.97278083,13.3037706,13.09386714,12.14676679,13.80661373,13.0825303,12.93194542,13.13953824,13.10098121,12.82059562,12.61550025,12.63403402,12.81377247
"Cp",9.111976544,10.44243238,9.281617508,10.88774164,9.622429414,8.996058781,10.07809845,9.7889184,9.851854936,9.232907601,10.15336244,10.83924209,9.920072321,9.296897244,10.51774347,9.587085946,10.43411052,9.82349404,9.654173772,10.0377977,8.329023843,9.998297624,9.684824723,11.04683474,10.34398131,10.5804575,10.90017535,10.13659663,10.17253179,10.39026668,10.07748901,10.27119747,9.514848288,10.42306293,9.83332066,9.305320734,9.39621459,10.27489958,9.903471138,9.10614684,9.572168737,10.13824601,9.988173051,10.09512804,10.38075825
"Thbs4",9.371142649,8.543147301,9.781708939,7.47514382,9.080016028,10.86026317,9.357388148,9.420893342,8.521721814,9.143563208,6.939954508,7.409517458,8.578140991,9.763450176,8.397476353,7.741303109,7.926959773,8.168172988,9.263347964,8.077905949,9.673388004,8.394424524,8.448262037,7.118449316,8.202262369,8.342470373,8.252767285,8.661976246,8.809563553,7.35826639,6.718226204,7.49919463,8.923529846,8.017543892,8.771674508,8.643027839,8.713903983,8.568104565,8.715277194,9.377018305,8.346558211,7.808354531,7.594758534,7.079639174,7.133192504
"Apoa4",12.22515494,11.59305341,10.32346071,9.732575395,10.33531163,12.04913768,11.45301397,11.12511302,8.46897463,10.3080281,10.0743731,9.105343544,9.918498937,10.98498295,10.93446723,11.11769522,10.71771493,11.57244683,11.49532443,9.967480872,10.41996693,10.11460766,11.22182385,10.4904094,10.58493314,10.61384716,10.78011216,11.1571045,11.27222999,10.1140707,10.06082132,8.098326636,10.65975357,11.6807124,11.73310749,11.03422793,11.94845542,10.00696798,9.839046324,10.74819451,9.81675747,10.59133063,11.02791994,9.115198459,10.05307148
"Ugp2",9.124073096,7.190570274,8.831518662,8.629604289,8.70827882,8.676710271,8.326043821,9.551244085,7.824823683,9.156201021,8.986739227,8.787277078,9.830445419,9.699717862,9.248135432,10.34421542,8.92459853,9.954811887,9.807996641,9.35976043,9.162620707,9.536314895,8.917137125,8.757379273,8.091048114,8.455622489,8.955206391,8.72636698,8.441143061,9.455878343,9.47483106,9.395694962,9.165719759,8.896200081,9.273845089,9.775693133,9.822265088,6.979291715,8.334282942,6.087383234,9.89013062,7.737310037,7.586641015,8.945743325,9.04130667
"Dnm1",10.21649132,11.46672017,11.57223432,7.004244929,10.51366173,12.44103664,11.15003254,11.33084103,11.12807143,11.82065858,9.940993716,10.00617543,10.99616602,11.95698151,10.57830331,12.28987602,8.947769985,10.75705914,11.82189388,10.11947679,11.28038573,10.95433882,10.66015646,9.45950395,9.772257779,11.06197807,10.61793684,11.00323385,11.00314228,9.626305067,9.871588622,9.961773303,11.40006918,10.54620125,10.86813933,11.12082808,11.93700166,9.958222513,10.95378125,11.65099679,11.50410969,10.3703346,9.792115656,9.801020422,7.255047671
"Col14a1",3.4818216,3.987045872,5.384458136,4.167789663,4.72754403,6.463339112,5.22015774,5.861703209,5.01130947,6.182156446,2.046206094,3.215568026,5.374078924,6.467879631,2.481457041,5.143723737,3.927734702,4.567992021,5.342733066,4.758647285,6.440222465,6.25592582,4.239374992,3.297414294,3.779520367,4.138071794,3.975557119,4.715657945,3.991119465,4.031336118,3.881763547,5.523853152,6.380233144,3.952673438,4.568467048,5.094967508,5.672831029,4.149586945,5.298851424,5.067936117,2.944116605,6.183436958,5.283279218,4.367014259,4.054317294
"Msr1",4.568714088,4.86963232,4.437980155,4.374718936,4.759704414,2.56690144,3.851489731,4.612075538,4.592439281,4.797341847,4.260077368,5.469917346,5.452277175,5.167915128,5.867310609,3.93454195,5.643448899,4.657478069,4.536757643,4.732986586,3.995723607,5.005071619,4.897069603,5.485419297,5.13139049,4.400708878,6.244763456,4.749188284,5.229099382,4.477418905,4.355860438,5.483288085,4.994536062,5.550752742,5.072902179,4.662025731,5.210284503,4.475695391,4.901018816,6.316496684,5.43892467,5.160731347,4.583478048,5.045717297,6.081031409
"Tkt",5.910211722,4.111209788,4.03405213,3.80441445,3.219939732,3.512121249,3.137335602,-0.154835416,2.357500662,2.065120968,4.210167187,2.812947404,2.933760106,2.004905638,2.618855168,3.269185337,2.845250133,5.20517639,2.599381853,0.665898239,3.730055143,3.202241167,3.793506382,4.213502422,3.049960662,2.641074346,2.251014341,0.013668503,0.209603321,2.799124625,3.808599854,3.612653409,3.49681674,2.928854436,3.544277024,2.74665735,1.230684877,2.398945475,4.332485295,2.379238782,1.363630841,2.548864882,2.985261595,2.721970532,4.147555477
"Cilp",10.0051619,8.549513511,9.387986207,7.705702681,8.271372705,9.95503807,9.043414614,10.25209839,8.629211161,10.52840126,10.14099432,9.201262203,10.06467999,10.14415711,9.752110882,8.591928995,10.28296854,10.73604232,9.565139353,8.734551993,10.07340712,9.43837964,8.923736278,7.915182762,9.309137997,9.160446187,9.231310998,9.963387635,10.24985524,8.358287837,8.46867822,8.429884328,9.280751878,8.870424065,9.571637659,8.814576252,9.387387404,9.03581887,9.263531759,9.873878798,9.636543547,9.298358033,8.92676697,8.388409557,8.26240462
"Rpl7",8.55741258,9.044843355,7.601547426,6.183875532,8.167481421,6.698492141,7.590314949,8.653888442,7.611931365,7.136194841,7.482945701,7.205616869,7.367913347,7.541527068,8.242383718,8.524170041,7.374773873,7.661115456,7.652913902,6.474536111,8.454873904,7.334207555,8.018431329,7.992579086,7.109485512,7.753349844,7.909615943,8.489410546,8.635883033,7.679767659,7.400256307,6.110181814,7.864669572,8.635853997,9.332928896,8.089333003,9.074662187,7.584737982,6.614114955,7.759512163,5.22009339,7.054536394,7.905047014,7.040011718,7.600071551
"Habp2",7.902159866,8.265025839,8.949535559,7.250695371,8.566677061,9.935747734,8.92236369,9.558953421,9.24820046,8.98628606,8.266477837,7.901983847,8.546442128,9.869596083,8.782537435,8.6252539,8.362874627,8.737238214,10.06514277,8.607406686,9.439501493,9.371187463,8.829944255,8.149480448,8.703014656,8.884120857,8.849687215,9.182517934,9.339704052,8.114351774,9.257820762,7.779684249,9.960606619,8.707941905,9.290482511,8.346694081,9.96100656,8.546197706,9.152710192,9.787046491,10.6900459,8.890165667,8.524140799,8.335102383,8.679833859
"Orm3",9.201252508,10.52400958,10.75020102,11.77623136,10.94634144,9.731518037,10.67981102,10.68239371,11.88337572,10.85150178,11.74012959,13.16258382,12.16735139,10.32018427,11.97519596,10.06822845,12.14638225,11.38786644,10.39444976,10.89635779,10.87130056,11.56122287,11.0947814,12.81303781,11.7301361,12.2196732,12.4854742,11.92423657,12.14486364,12.10818366,11.53498807,12.84147188,11.31070316,12.21727907,10.27776372,11.04062967,10.89494826,12.05910953,11.11397624,10.62021085,10.98564775,11.81540983,11.38988799,11.37094868,11.58782067
"Rab10",7.522942586,8.573544815,7.894888168,8.452585836,7.278252331,8.286569248,9.569132995,6.501337477,8.810059004,7.48435046,6.791475705,7.453758338,7.814787413,8.834168913,10.98893995,7.781408599,7.350474371,7.196747578,8.640331804,7.367551534,8.833878496,8.56397604,8.013670989,7.686114058,7.171954012,8.691445319,9.658638625,9.138148859,8.311849225,4.873437725,5.185635382,8.383146582,8.344783669,5.59333875,6.293292849,6.340963396,8.062008472,8.772134131,7.248691861,8.781767473,6.719159069,7.776126027,7.860579598,7.502720962,8.268218056
"Rps15a",5.598048959,4.022680575,4.848152849,5.547188847,6.717031013,4.903544303,5.257240581,6.782373598,5.772333427,6.578673355,6.024256328,5.609952875,5.498934545,5.616820631,5.535074108,5.312052928,4.180010155,5.861989416,2.723007984,6.343832468,4.52491558,4.828848242,3.949631038,3.556815307,5.44983947,5.073502492,2.142604225,4.006886963,5.721918112,4.870770127,6.487390651,5.215956089,5.075642583,5.418224551,5.515978028,5.270927547,3.030738214,3.174514842,5.618621402,4.726257399,5.208918509,5.27998141,5.949599574,5.426641038,6.616251078
"Edil3",6.810537272,5.782808914,6.323357787,6.73969535,6.901820633,6.495395999,8.430677904,6.146650968,4.207497907,6.007128228,6.221518984,7.170273535,6.301768438,6.610520128,6.128438267,4.643286198,6.404451495,6.097696591,6.125618329,6.015478009,6.527075311,6.790494199,7.342031315,6.538192347,7.298092004,7.155215664,6.609448106,6.350498137,6.035542793,6.433653599,4.923851717,6.288605284,5.808738505,5.581288825,6.182788229,7.075968834,5.275987987,7.109804386,7.148811223,6.029994829,5.877172331,7.700990359,6.943718039,5.584130651,5.783841069
"Atrn",5.685605506,6.814552973,5.386055547,7.016445508,6.536334615,5.615781429,7.135007732,5.105089226,5.376491413,5.480025741,6.374661838,6.271158908,5.665755397,4.505643795,5.712747986,4.923393012,6.213088845,5.535767533,5.077368268,4.615253429,3.772567136,5.353149261,4.227853581,3.935300386,4.180028207,3.88059858,5.04032743,5.221930204,4.769838162,4.712724098,4.075147609,3.566472382,4.24634184,4.576614296,4.912791549,4.178001743,4.616761382,5.528453456,5.173577979,5.257599374,5.680351633,5.059841318,5.893003046,5.904013257,6.532738448
"Ces1f",11.3761899,12.24984049,11.41190042,13.02176771,12.14416565,11.53813072,12.53126759,11.5208336,11.80919754,10.9655338,12.06535015,13.08656309,11.83938774,11.05315644,12.78640584,11.57178822,12.38405466,11.82280204,11.56754865,12.11373641,10.72260047,12.41661719,11.29072499,12.27259576,12.1102987,11.56792051,12.63171191,11.98999863,12.01945489,12.44818418,11.88780588,13.057049,12.018183,12.48801339,12.03385518,11.21640718,12.22735751,12.60830514,12.12398712,11.26962831,12.07825041,12.29128105,12.101443,12.02692215,12.62333273
"Rps3a1",9.961628825,10.18568523,10.94883824,11.32346059,11.27648235,11.19949333,10.78165035,11.01691688,10.7288151,10.12668188,11.52773051,12.64863966,11.38519936,10.39474353,11.85034453,10.56554052,10.65040719,11.35764812,10.4551841,11.05598328,9.776402872,11.56663813,12.40743705,12.38657405,9.803025934,11.9094199,12.37471954,10.55334927,11.54110366,10.33680963,11.8201714,10.34576444,11.01092457,11.25459746,9.72312604,9.9612423,11.37550254,12.19063598,10.24420449,11.76409888,11.37346352,11.36662262,11.12265618,11.35644575,11.42022877
"Osbpl11",8.81915965,7.683229051,7.949874897,7.48355792,7.230217126,8.35270269,7.815871821,8.53448348,6.186624576,8.245628375,7.981800925,7.022156928,8.224836127,7.738223019,8.927422458,7.519740508,7.420757765,8.614176616,7.771110896,7.461917233,7.744715567,7.017122193,7.791783382,7.212220755,8.115286504,7.136735018,7.76172385,7.848104508,8.486656109,7.644699921,7.531020092,7.872771073,7.554317289,8.600221917,8.41458236,8.75669412,7.377639413,8.690055753,7.637249663,8.050352505,7.463383492,7.910784227,7.790543639,7.596535877,7.961080859
"Myh9",10.93207292,8.559908276,8.299269707,8.833346048,9.599895704,8.373702722,8.415672732,8.268928824,7.033262787,8.569805728,9.790047464,8.469297617,8.680064563,8.263516969,8.629937424,8.843793593,8.224313976,8.522826012,8.851150466,8.394387252,8.594620924,8.189963139,8.318237381,8.722547536,8.648380475,8.225913651,8.138216121,8.052830514,7.737057666,8.407027436,8.969749547,8.323077291,8.622254228,9.088214906,8.215749172,8.004969712,8.973279529,8.370008591,8.81297849,9.021046241,9.002974327,8.743026709,8.808123131,8.620324367,8.465340706
"Apod",7.057051962,6.412178501,7.911526434,6.615807312,6.066977077,7.340873416,7.283167121,7.189728664,6.88411442,8.243696282,5.420651423,6.794361395,6.917777798,7.64639264,6.869092229,5.995688932,6.525818143,6.283048967,5.613288404,6.655716304,7.621011799,6.077376408,5.749619986,5.959552879,5.347903827,5.923147863,5.603873402,5.992972537,5.313971575,6.91238937,6.009376402,7.592956355,6.670019459,6.747735789,6.032434037,7.718427333,5.995064209,5.671645609,6.419763703,5.525129037,6.416159788,5.478473989,6.732871881,6.597068427,6.855494128
"Hspa1b",9.705149099,7.9874164,9.28917778,7.937918297,8.346441129,9.532003319,8.942235821,8.559490404,8.102303919,8.766320157,8.066475083,8.528885955,8.759801939,9.311539565,8.633445752,7.4669336,7.87125621,9.902796264,9.236629583,8.812859941,9.206471665,7.319553446,8.434978216,8.0724376,8.123444692,8.339134753,8.37598462,8.730677014,8.067747043,7.898791817,8.018411722,8.497629066,8.73081983,8.504876181,8.07074447,8.560027293,7.94553358,8.873148095,9.205892647,8.939017831,8.433611478,8.635296534,8.202671421,8.317240617,8.136741491
"F5",9.164830717,10.96957599,8.951661964,9.981802499,9.755414779,8.497516319,9.085183424,9.903481042,11.7072693,9.102870012,9.602153948,9.556687924,8.66584906,9.801947485,9.393766929,11.29096203,10.41575039,9.887560927,9.996153967,10.87316807,9.203028806,10.12332795,10.30032354,10.47942628,11.29840655,9.259904636,10.03568845,9.417503035,9.556486953,10.3204143,11.03119015,9.715557528,9.483530366,10.29004403,11.33431025,9.977513941,10.40661514,9.202727118,9.349204427,9.77604311,9.866794382,10.76861707,11.21463694,10.69683223,11.59480912
"Apoa2",12.88272225,11.5385023,12.37238066,11.18044106,10.86354944,12.27179286,12.29341895,10.43182546,10.31722852,12.30964078,10.67537455,10.13638885,11.16383945,11.71325872,10.81806326,10.5768944,11.16721843,11.81166944,9.981165074,11.01953842,11.09139191,10.91310749,10.19281818,10.42088563,10.71391951,10.95022731,10.52168432,10.97744459,10.88883953,11.15910057,10.17207861,10.88572189,10.27052236,11.10858041,10.75206483,12.45677597,10.24007327,8.830030775,10.51962346,10.13042347,10.60711866,10.12647528,11.2743574,11.291084,10.65813901
"Cfp",8.43693891,9.684418504,8.409473567,9.366524958,9.588912764,9.541031401,8.493815425,8.451423513,8.75020324,8.350198174,9.686645777,10.27853085,8.966792266,8.990624717,8.264349184,9.492959163,9.99549248,8.704420748,9.095574497,9.43241595,8.903024327,8.682854312,9.491723403,9.70871497,9.324016018,8.990555748,9.197042113,9.082278047,9.184282458,8.594283879,10.4384128,7.922818112,9.035055104,8.23679583,9.117020333,7.943847452,9.016467548,9.005861299,9.887140832,9.065031299,10.23529381,8.899902855,9.166503445,9.15768509,9.584238785
"H4c3",11.09737305,9.891685798,7.821230103,10.91474072,10.55440662,6.989262262,8.36904395,7.010846196,7.307898388,7.770141659,11.8451855,8.266732461,7.163445966,7.178782937,8.183394157,9.448609789,8.876306493,9.548060897,6.614930968,7.394268745,7.473864148,6.893407098,8.597217496,8.968051592,8.421715853,5.357191959,4.618662308,7.009041849,6.015229351,9.380095657,10.6281305,9.095630571,5.888765642,6.037389455,6.682849697,7.123697105,4.387084053,7.216259509,9.469856696,6.894352342,5.746627099,7.623363269,9.475858329,10.62487219,10.21461415
"Cfb",11.39242933,11.88359129,12.30454882,11.46796305,11.4503158,12.8307023,12.19697699,13.02326592,12.2463479,11.99160955,10.96750012,11.75659865,11.71852847,13.2038076,11.85861732,12.10795625,12.06178371,11.94128632,13.36635652,11.7664991,12.79459934,12.2160439,12.36754312,11.92812075,11.8483376,12.34789061,12.42980173,12.27282356,12.3704006,11.26226383,11.88380151,11.40332086,12.42185929,11.3274816,12.77445981,11.8200531,12.8499414,11.58581939,11.87615245,12.77369531,12.876336,11.88889679,11.11963829,11.15132866,11.66139138
"Cfi",10.48324455,10.96218528,11.66386715,9.613994078,11.32456532,12.36546963,10.8195642,11.83701817,12.02839588,11.73087966,10.15088033,10.32733595,11.43409839,12.48817658,10.23428731,11.3481945,10.81036676,10.89917784,12.25295465,11.00065355,11.80672838,11.39039987,11.8943074,10.57430446,11.02912641,11.701208,11.43970464,11.80115549,11.58062924,10.11262839,10.76243523,8.961590683,11.32680099,10.44094705,11.28588379,10.05414298,12.12812572,10.73214316,11.42689651,12.23568926,11.76317239,10.79030485,10.87824559,10.697917,10.75486477
"Pbp2",7.078364501,7.433642962,7.34296037,4.829235917,7.071901816,5.033112276,5.837748401,7.037100421,6.514061943,6.527174386,7.269111374,6.925607588,7.371011293,5.733128076,8.151425577,7.030795736,7.473439759,5.794249462,6.026357773,5.760596012,7.18516369,7.327127183,6.212578572,7.35524531,5.769982449,5.601496509,7.030889972,6.947543569,7.218312204,6.924804416,5.148684946,7.847119663,7.118998539,7.239441695,7.671033049,6.155298941,8.125800731,7.53786382,7.724725889,6.979723503,7.763451356,5.945687082,7.461424073,6.937739216,8.003956814
"Plg",10.71007235,11.15667254,9.971110912,9.894316869,11.2656508,10.86451256,10.70158453,11.83229774,11.54331791,9.774591834,10.89105804,11.47282557,10.55954289,12.39444379,10.86934401,10.9812395,11.24949447,10.5029924,12.89625765,10.74266979,10.51103129,11.15685619,11.24685861,10.7584808,10.96025708,10.90746852,11.33183251,10.7052689,10.91590714,10.63685464,12.12421211,9.564702973,10.76172827,10.39208247,12.44080631,9.389646714,12.23608083,11.0777846,11.15991475,12.79628384,11.82221998,10.51809874,10.47269776,10.51609188,11.47929785
"Afm",7.653624277,8.748086186,8.215996063,8.096980465,8.569216969,8.531996692,7.688377797,9.253333063,9.988940474,8.533281863,8.101241487,9.835403622,9.372964699,9.925806379,8.638469028,8.269817869,8.578572307,8.760337844,8.841774879,9.172232131,9.980895653,9.295729795,9.002471158,9.760252519,8.907993635,9.652092155,9.547658882,9.181122201,9.180219372,8.954359926,9.117013171,8.366102945,9.51528313,8.86456081,7.991358697,7.48569727,9.134940106,9.006518083,8.814963863,8.697247362,8.712338243,8.562030887,8.339068579,8.707642594,8.735648963
"Serpind1",9.882695405,10.87440308,10.95283858,10.23368618,10.64045654,11.40534982,11.12341706,11.01831753,11.00859339,10.27925325,10.01701022,10.47844969,9.819456731,11.25229454,9.840686543,10.38501846,10.31000302,10.26892502,11.32460604,10.42317546,11.1018741,10.51069395,10.93037892,10.47690064,10.60795238,10.80519315,10.8885565,10.798149,10.58320335,10.11868693,10.49976125,10.37605662,10.97760286,10.22330846,10.70983629,10.84335072,10.86506189,10.28430196,10.363679,10.89281318,11.51596914,10.38324044,10.09932714,9.829303177,10.45264697
"Vat1l",8.846504183,9.540581993,9.244280815,11.60001709,10.09571574,9.868713995,10.4542336,9.617646824,11.5870512,10.49851104,11.40432551,10.88047808,10.13237965,9.013952725,8.707286769,11.21790269,11.8285868,9.479424551,10.44552612,11.382944,9.663517924,9.974432599,11.41124837,11.87718251,11.00527708,11.23300083,11.45340286,10.85367936,10.77731204,9.17886756,11.46283232,10.63663844,10.23031108,9.483497248,9.591778694,9.986562425,10.45498527,9.660029802,9.217656362,11.51010313,11.17955098,10.74070154,11.27725775,11.04799105,12.45628559
"Vim",8.899043327,6.756351172,7.054052308,9.05488713,8.72636026,5.297020828,8.253405908,6.352995147,6.536671499,7.191786965,9.851027934,7.115326953,6.543506871,7.688293881,7.263513031,7.719868019,6.953236782,8.463149219,5.959420061,5.709460208,6.388985315,5.229590026,7.28582252,8.09886114,5.647797338,5.638391776,7.34129826,6.104786568,6.069816369,7.779263417,9.921694262,8.940010341,7.56453616,6.979116907,6.351158003,5.997320905,5.59947394,5.917836946,5.627795631,5.792931183,7.160861563,6.804763654,7.073438373,7.997024707,8.572603407
"Canx",5.683608823,7.224421433,5.433262621,7.159217784,7.190522219,6.600188477,6.764278077,7.190286988,7.101759304,7.316859225,7.879570165,8.69317757,7.220190247,8.254590877,7.399326329,5.737250239,7.555105373,6.874038483,6.26659822,7.325506638,7.339512415,6.68747776,7.036957623,7.805832557,7.290428406,6.459114128,6.850531335,6.680616354,7.815599077,7.882910909,8.057353577,8.544264243,7.639500528,7.398110965,6.25577253,7.881465801,7.671258636,7.383276402,7.556985187,6.816806472,6.523826944,7.422959728,7.648335727,7.275129136,7.566530259
"C6",7.528074809,7.30064107,7.092639327,5.998581557,6.173512835,7.723124186,7.096097336,8.043485216,7.797167344,7.626410166,5.697077321,6.636149533,6.952333928,7.914708127,6.259029432,7.723729217,6.82098909,7.011867827,8.447593971,7.06303803,8.25589147,7.267623735,8.085893147,6.734992705,6.827446168,7.701465431,7.007767144,7.595345862,7.803016156,6.412826167,7.243703869,6.016041258,7.47386339,6.606191911,7.861065977,7.459928028,7.934375272,6.039665531,7.119039932,7.713022223,8.626608756,7.501342438,7.0579863,6.256092129,6.624666062
"Vcan",5.581355901,5.114174704,5.569741373,6.768958553,6.383010115,5.908397341,6.847699857,7.036414368,5.559791195,6.350612119,6.549108447,6.467561002,6.601740106,6.874251482,8.083706169,6.398119742,6.142414743,6.384109459,6.776445338,6.70006797,6.265463918,6.666391203,6.187950045,5.819368592,5.812809017,5.717557996,6.273739102,6.477591548,6.450336397,5.435196097,5.623593485,7.25892508,6.452206939,6.288626433,5.854814706,6.78906245,5.822149546,6.965195453,5.880081527,5.112350929,5.080561255,6.884718391,6.445131372,6.0081186,6.006842976
"Ubr4",14.36519556,13.99743976,14.23905965,15.204236,13.83084507,14.35670794,13.64454958,14.22362312,15.40780072,14.54266574,14.5810333,14.96848807,15.78346409,14.36912527,14.58399422,15.19094153,15.19294702,14.06992183,15.40574211,15.59299221,14.8581636,15.27805221,14.83327205,15.45295758,15.54649056,14.86525554,15.28370533,14.09574876,15.00576464,15.1412058,15.58775682,15.3338495,14.54055196,14.17037152,13.33232555,15.09120118,14.83742188,14.51298508,14.56672187,14.86807784,15.35277989,14.61349923,15.3155151,15.51506085,14.4374746
"Anxa7",7.540361846,5.761082435,6.429374712,7.194011679,5.838219826,6.743528403,6.297982054,6.467284912,7.514765131,5.983228607,7.337978216,6.343329017,5.93633088,5.592645232,6.171790379,8.560413241,6.274974237,6.264216087,6.51306919,5.453132989,3.372924377,6.798379605,7.401800508,6.581965806,6.849200167,6.24043424,5.832954354,5.254577458,5.509535893,6.231441656,7.345887038,4.329375477,6.657043788,5.128395129,5.352358388,4.445409028,4.825856002,6.363190511,7.073612457,6.035161784,7.014118386,6.440375231,6.250775847,5.970578529,6.490374412
"Fga",11.55069262,13.82291374,12.38790306,13.23261102,13.60454405,12.66092884,13.43046152,13.92938787,16.21806254,12.8862597,14.6714853,14.41933671,13.11549579,13.71270862,12.84108989,15.20801789,14.71494883,12.76549865,14.67555075,15.18942835,13.27562177,14.19948961,15.31533812,14.64379169,14.69370647,14.735041,14.45521972,13.96722738,14.01013891,14.45477941,15.70585455,14.55283696,13.8317998,12.82379006,13.43807179,13.73072334,13.72336703,13.83668571,13.78673152,13.57172957,14.50385154,13.66180397,14.41276481,14.28816351,14.86046607
"Rhoa",7.665256129,5.59113611,7.017971083,5.243248217,6.870362894,6.271591281,5.072569268,4.861771988,5.902056796,6.697901806,7.474533168,7.039724246,6.084338315,6.157332027,5.39614304,4.983677329,5.338238048,7.130792967,4.816337995,5.14922946,6.331754152,5.731795413,6.772365744,7.633666028,6.53450768,6.932877408,5.356266762,5.701423815,4.438688349,5.454245135,5.675770363,5.896983226,4.428086295,4.165113634,4.560939053,3.485069451,5.046638547,6.952923671,7.16596288,6.249402921,4.287827466,6.332763644,6.923262684,6.296095143,5.564708249
